Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Ind+3Sg	Aasiammiulererusuttarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Int+2Sg	Aasiammiulererusuttarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+TAR+V+Par+1Sg	Aasiammiulererusuttartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+V+Ind+1Pl	Aasiammiulererusuppugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+V+Ind+1Sg	Aasiammiulererusuppunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+V+Ind+3Sg	Aasiammiulererusuppoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+V+Int+2Sg	Aasiammiulererusuppit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+GUSUP+Sem/wish+V+Par+1Sg	Aasiammiulererusuttunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiulerinngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiulerinngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiulerinngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+GALUAR+V+Int+2Sg	Aasiammiulerinngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+GALUAR+V+Par+1Sg	Aasiammiulerinngikkaluartunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+V+Ind+1Pl	Aasiammiulerinngilagut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+V+Ind+1Sg	Aasiammiulerinngilanga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+NNGIT+V+Ind+3Sg	Aasiammiulerinngilaq
